Frame 85: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9998
Frame 86: Sorpresa: 0.0008, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0274, Triste: 0.0006, Disgustado: 0.0001, Feliz: 0.9708
Frame 87: Sorpresa: 0.0008, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0095, Triste: 0.0010, Disgustado: 0.0001, Feliz: 0.9885
Frame 88: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0013, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9983
Frame 89: Sorpresa: 0.0007, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0227, Triste: 0.0004, Disgustado: 0.0003, Feliz: 0.9756
Frame 90: Sorpresa: 0.0021, Miedo: 0.0004, Enojado: 0.0001, Neutral: 0.0052, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9920
Frame 91: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9996
Frame 92: Sorpresa: 0.0022, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0039, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9933
Frame 93: Sorpresa: 0.0009, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0013, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9974
Frame 94: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0023, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9967
Frame 95: Sorpresa: 0.0139, Miedo: 0.0025, Enojado: 0.0044, Neutral: 0.1808, Triste: 0.0132, Disgustado: 0.0057, Feliz: 0.7795
Frame 96: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0097, Triste: 0.0004, Disgustado: 0.0002, Feliz: 0.9889
Frame 97: Sorpresa: 0.0024, Miedo: 0.0002, Enojado: 0.0002, Neutral: 0.0025, Triste: 0.0005, Disgustado: 0.0001, Feliz: 0.9942
Frame 98: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9996
Frame 99: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0053, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9940
Frame 100: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0097, Triste: 0.0006, Disgustado: 0.0003, Feliz: 0.9888
Frame 101: Sorpresa: 0.0020, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0008, Triste: 0.0004, Disgustado: 0.0000, Feliz: 0.9966
Frame 102: Sorpresa: 0.0020, Miedo: 0.0008, Enojado: 0.0011, Neutral: 0.0175, Triste: 0.0008, Disgustado: 0.0004, Feliz: 0.9775
Frame 103: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0000, Triste: 0.0000, Disgustado: 0.0000, Feliz: 1.0000
